date,province_thai,province_eng,region_thai,region_eng,variable,value
1/1/2019,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,occupancy_rate,93.37
1/1/2019,ลพบุรี,Lopburi ,ภาคกลาง,central,occupancy_rate,61.32
1/1/2019,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,occupancy_rate,73.37
1/1/2019,สระบุรี,Saraburi ,ภาคกลาง,central,occupancy_rate,67.33
1/1/2019,ชัยนาท,Chainat ,ภาคกลาง,central,occupancy_rate,79.31
1/1/2019,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,occupancy_rate,71.7
1/1/2019,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,occupancy_rate,64.65
1/1/2019,อ่างทอง,Ang Thong ,ภาคกลาง,central,occupancy_rate,71.21
1/1/2019,นนทบุรี,Nonthaburi ,ภาคกลาง,central,occupancy_rate,75.07
1/1/2019,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,occupancy_rate,60.77
1/1/2019,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,occupancy_rate,72.5
1/1/2019,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,occupancy_rate,61.64
1/1/2019,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,occupancy_rate,59.4
1/1/2019,ราชบุรี,Ratchaburi ,ภาคกลาง,central,occupancy_rate,75.09
1/1/2019,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,occupancy_rate,83.8
1/1/2019,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,occupancy_rate,75.6
1/1/2019,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,occupancy_rate,89.43
1/1/2019,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,occupancy_rate,81.2
1/1/2019,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,occupancy_rate,64.55
1/1/2019,ชลบุรี,Chonburi ,ภาคตะวันออก,east,occupancy_rate,84.33
1/1/2019,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,occupancy_rate,68.86
1/1/2019,ตราด,Trat ,ภาคตะวันออก,east,occupancy_rate,80.48
1/1/2019,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,occupancy_rate,68.39
1/1/2019,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,occupancy_rate,68.57
1/1/2019,ระยอง,Rayong ,ภาคตะวันออก,east,occupancy_rate,70.11
